"tv","Name","CAS","SMILES","MW","log10prediction","log10lower95","log10upper95","prediction","lower95","upper95","appl.domain","Source","Warnings"
"OSF","2,3-Benzofluorene","243-17-4","C1C2=CC=CC=C2C2=CC3=CC=CC=C3C=C12",216.0939003864,6.92016299999999,4.93132294888752,8.75388897198426,38.5052982487719,0.395075811217223,2625.70821913777,14.2623393089407,"CTV",""
"CPV","2,3-Benzofluorene","243-17-4","C1C2=CC=CC=C2C2=CC3=CC=CC=C3C=C12",216.0939003864,6.66051899999998,4.68271049999998,8.71127826666665,21.1775878331791,0.222878405264756,2380.32226161071,11.4981726863357,"CTV",""
"RfC","2,3-Benzofluorene","243-17-4","C1C2=CC=CC=C2C2=CC3=CC=CC=C3C=C12",216.0939003864,9.79689733333328,7.40316964999995,11.8157521833333,3.44941283517593e-05,3.30286121385136e-07,0.00854029472388564,8.30554254847155,"CTV",""
"IUR","2,3-Benzofluorene","243-17-4","C1C2=CC=CC=C2C2=CC3=CC=CC=C3C=C12",216.0939003864,5.56715633333333,3.182542175,7.43127203333333,1.70810209349395,0.00704530285273551,124.919295117114,13.3299322931085,"CTV",""
"RfD","1-Bromo-2-chloroethane","107-04-0","ClCCBr",141.918491,7.30539656503971,5.69500830554576,8.81027396212743,0.00702493677126638,0.000219667103030036,0.286438030660872,-0.207259156616303,"CTV",""
"RfDNOAEL","1-Bromo-2-chloroethane","107-04-0","ClCCBr",141.918491,3.95297281922944,2.34918613123644,5.39571842413368,15.8148896339854,0.570585276162381,635.115707153196,-0.110041604290067,"CTV",""
"RfDBMDL","1-Bromo-2-chloroethane","107-04-0","ClCCBr",141.918491,4.29210522541675,2.51133737424536,6.0093666538368,7.24325474018394,0.138890432688846,437.221601281662,-0.353128293740439,"CTV",""
"RfDBMD","1-Bromo-2-chloroethane","107-04-0","ClCCBr",141.918491,4.02636593571962,2.02808469926682,5.96427842458385,13.3558966266644,0.154085070048152,1330.31437953663,-0.353128293740439,"CTV",""
"OSF","1-Bromo-2-chloroethane","107-04-0","ClCCBr",141.918491,5.45,NA,NA,2,NA,NA,NA,"PPRTV",""
"CPV","1-Bromo-2-chloroethane","107-04-0","ClCCBr",141.918491,4.39294233333333,2.41513383333333,6.4437016,0.17414192808204,0.00183271463805934,19.5732352220052,-0.383390970629822,"CTV",""
"RfC","1-Bromo-2-chloroethane","107-04-0","ClCCBr",141.918491,7.39251316666668,4.99878548333335,9.41136801666669,0.00574811989402588,5.5039054928249e-05,1.42315925489121,-0.244777448616648,"CTV",""
